year,region,atc,gender,age_group,num_prescriptions,num_patients,per_1000,narcotic_class
2006,5,N02AJ06,3,11,1910,483,"73,07",III
2006,5,N02AJ09,3,7,316,32,"11,79",III
2006,5,N02BF02,3,6,79,16,"3,14",V
2006,5,N02BG10,1,4,0,0,0,II
2006,5,N05BA01,2,13,1913,307,"145,79",IV
2006,5,N05CC01,3,12,0,0,0,V
2006,5,N05CC01,1,2,0,0,0,V
2006,5,N05CD03,3,4,4,1,"0,14",II
2006,5,N06BA04,3,16,0,0,0,II
2006,5,N06BA07,1,14,10,2,"1,05",IV
2006,5,N07BC01,3,15,0,0,0,IV
2006,5,N07BC51,3,5,1,1,"0,04",IV
2006,5,N07XX59,1,14,0,0,0,V
2006,5,R05FB02,1,8,5,5,"0,35",III
2006,6,A04AD10,2,99,0,0,0,II
2006,6,M03BA52,3,6,7,5,"0,39",IV
2006,6,N01AH02,1,8,0,0,0,II
2006,6,N02AA01,2,2,0,0,0,II
2006,6,N02AA03,2,8,0,0,0,II
2006,6,N02AA05,1,6,25,11,"2,71",II
2006,6,N02AB02,2,18,0,0,0,II
2006,6,N02AC54,2,99,1,1,"0,01",III
2006,6,N02AC54,2,4,0,0,0,III
2006,6,N02AX01,3,8,0,0,0,II
2006,6,N02CA72,1,1,0,0,0,IV
2006,6,N03AX24,1,11,0,0,0,II
2006,6,N05BA08,3,13,0,0,0,IV
2006,6,N05CD02,2,11,234,27,"22,71",IV
2006,6,N05CD03,2,18,2188,267,"360,76",II
2006,6,N06AX27,2,9,0,0,0,IV
2006,6,N06BA02,1,1,0,0,0,II
2006,6,N06BA13,1,16,0,0,0,IV
2006,6,R05DA04,3,3,0,0,0,III
2006,6,R05FA02,1,10,444,368,"41,6",III
2006,7,A03CA02,2,8,0,0,0,IV
2006,7,A03CA02,1,5,0,0,0,IV
2006,7,A07DA01,2,8,0,0,0,II
2006,7,N02AA01,1,17,326,51,"135,49",II
2006,7,N02AA01,2,5,0,0,0,II
2006,7,N02AB02,2,18,0,0,0,II
2006,7,N02AD01,3,1,0,0,0,III
2006,7,N02AD01,2,13,0,0,0,III
2006,7,N02AG01,2,15,9,8,"2,29",II
2006,7,N02BF02,3,11,176,41,"14,93",V
2006,7,N03AX24,3,13,0,0,0,II
2006,7,N05BA06,2,15,101,12,"25,74",IV
2006,7,N05CC01,1,10,0,0,0,V
2006,7,N05CF01,1,5,107,40,"18,24",V
2006,7,N06BA01,3,12,8,2,"0,63",II
2006,7,N07BC05,2,13,0,0,0,II
2006,7,N07BC51,3,16,0,0,0,IV
2006,7,N07XX04,3,17,0,0,0,II
2006,7,R05DA04,3,13,27,7,"2,4",III
2006,7,R05FB02,1,11,8,8,"1,34",III
2006,8,N01AH01,2,99,0,0,0,II
2006,8,N01AH02,2,99,0,0,0,II
2006,8,N01AH06,1,16,0,0,0,II
2006,8,N01AH51,2,18,0,0,0,II
2006,8,N02AA55,1,5,0,0,0,II
2006,8,N02AA59,1,7,0,0,0,III
2006,8,N02AA59,3,4,0,0,0,III
2006,8,N02AG01,3,7,9,7,"0,71",II
2006,8,N02AG02,2,14,4,4,"0,62",II
2006,8,N02AX01,2,5,0,0,0,II
2006,8,N02AX01,2,17,0,0,0,II
2006,8,N02BG10,1,6,0,0,0,II
2006,8,N05BA05,1,12,0,0,0,IV
2006,8,N05BA08,1,8,0,0,0,IV
2006,8,N06BA02,1,9,0,0,0,II
2006,8,N07BC01,1,18,0,0,0,IV
2006,8,N07BC02,2,11,42,2,"5,41",II
2006,8,R05DA09,3,13,0,0,0,V
2006,8,R05DA20,2,10,32,23,"4,25",II
2006,8,R05FB02,1,10,10,6,"1,33",III
2006,9,A04AD10,1,2,0,0,0,II
2006,9,A07DA02,2,2,0,0,0,II
2006,9,A08AA51,2,11,0,0,0,II
2006,9,N01AF01,3,8,0,0,0,V
2006,9,N01AH02,1,12,0,0,0,II
2006,9,N01AH06,1,2,0,0,0,II
2006,9,N01AH51,1,12,0,0,0,II
2006,9,N02AA03,3,4,0,0,0,II
2006,9,N02AJ06,3,99,4549,1627,"79,13",III
2006,9,N02AJ09,3,17,10,5,"6,05",III
2006,9,N02AJ09,1,17,1,1,"1,42",III
2006,9,N02AX01,1,14,0,0,0,II
2006,9,N02AX02,1,5,32,16,"18,66",III
2006,9,N05BA02,3,9,0,0,0,IV
2006,9,N05BA06,3,15,5,1,"2,08",IV
2006,9,N05CD03,3,1,0,0,0,II
2006,9,N05CF01,1,1,0,0,0,V
2006,9,N06AX27,3,13,0,0,0,IV
2006,9,N06BA01,2,17,0,0,0,II
2006,9,R05DA09,1,3,0,0,0,V
2007,0,A07DA01,3,11,0,0,0,II
2007,0,M03BA02,3,18,1696,320,"7,17",IV
2007,0,N01AH03,3,6,0,0,0,II
2007,0,N01AH51,2,11,0,0,0,II
2007,0,N01AX03,1,8,3,3,"0,01",IV
2007,0,N02AA59,2,11,0,0,0,III
2007,0,N02AG01,2,17,697,524,"4,59",II
2007,0,N02AJ08,1,16,339,129,"2,51",III
2007,0,N02AJ09,2,6,1937,531,"7,22",III
2007,0,N02AJ09,1,17,1498,343,"14,71",III
2007,0,N02AX06,2,11,0,0,0,II
2007,0,N03AA02,2,7,509,35,"1,72",IV
2007,0,N05BA05,3,10,8,2,"0,01",IV
2007,0,N05BA06,1,16,948,189,"7,01",IV
2007,0,N05CD03,2,11,4494,946,"15,63",II
2007,0,N05CM02,2,14,2130,244,"9,68",V
2007,0,N06BA02,3,7,222,35,"0,37",II
2007,0,N07BC01,1,17,0,0,0,IV
2007,0,N07BC02,3,3,2,2,0,II
2007,0,R05DA04,1,5,46,19,"0,17",III
2007,1,A03CA02,3,8,0,0,0,IV
2007,1,N01AF01,1,13,0,0,0,V
2007,1,N02AA01,1,99,6805,1355,"7,21",II
2007,1,N02AA03,3,7,1,1,"0,01",II
2007,1,N02AA59,2,12,0,0,0,III
2007,1,N02AB02,1,10,0,0,0,II
2007,1,N02AC04,3,16,8788,3023,"176,03",III
2007,1,N02AJ06,3,7,9829,5378,"63,35",III
2007,1,N02AJ13,3,9,0,0,0,III
2007,1,N02AX06,2,4,0,0,0,II
2007,1,N05BA02,2,16,2,1,"0,07",IV
2007,1,N05CD03,3,6,158,52,"1,19",II
2007,1,N06BA02,3,16,4,1,"0,08",II
2007,1,N06BA04,1,6,729,124,"11,15",II
2007,1,N06BA04,2,16,20,5,"0,68",II
2007,1,N06BA12,3,6,0,0,0,II
2007,1,N06BA12,3,7,0,0,0,II
2007,1,N07XX04,2,13,0,0,0,II
2007,1,R05DA09,1,7,0,0,0,V
2007,1,R05DA09,3,1,0,0,0,V
2007,10,A08AA51,1,8,0,0,0,II
2007,10,N01AX03,2,7,0,0,0,IV
2007,10,N02AE01,1,8,4,1,"0,77",IV
2007,10,N02AG01,3,9,91,21,"8,72",II
2007,10,N02AX06,2,17,0,0,0,II
2007,10,N02AX06,2,3,0,0,0,II
2007,10,N02CA72,1,14,3,3,"0,72",IV
2007,10,N03AA02,1,5,0,0,0,IV
2007,10,N05BA05,2,99,8,1,"0,11",IV
2007,10,N05BA06,3,1,0,0,0,IV
2007,10,N05BA08,2,3,0,0,0,IV
2007,10,N05BC01,2,99,4,1,"0,05",IV
